"Lang","Name","Value"
"se","user_scrap","Personlig Spelinfo"
"de","various","Verschiedene"
"en","various","Various"
"es","various","Varios"
"fr","various","Variés"
"it","various","Vari"
"pt","various","Vários"
"se","various","Blandat"
"de","video_info","Video Info"
"en","video_info","Video Info"
"es","video_info","Video Info"
"fr","video_info","Video Info"
"it","video_info","Video Info"
"pt","video_info","Video Info"
"se","video_info","Videoinfo"
"de","voids_warranty","Lüfter Erforderlich"
"en","voids_warranty","Fan Required"
"es","voids_warranty","Requiere Ventilador"
"fr","voids_warranty","Ventilateur Requis"
"it","voids_warranty","Ventola Necessaria"
"pt","voids_warranty","Ventilador Necessário"
"se","voids_warranty","Fläkt Krävs"
"de","volt_warning","Low Voltage"
"en","volt_warning","Low Voltage"
"es","volt_warning","Bajo Voltage"
"fr","volt_warning","Low Voltage"
"it","volt_warning","Low Voltage"
"pt","volt_warning","Low Voltage"
"se","volt_warning","Klen Spänning"
"de","volume_locked","Locked by Clipping"
"en","volume_locked","Locked by Clipping"
"es","volume_locked","Bloqueo por Clipping"
"fr","volume_locked","Locked by Clipping"
"it","volume_locked","Locked by Clipping"
"pt","volume_locked","Locked by Clipping"
"se","volume_locked","Fast PGA Klippning"
"de","warning_title","WARNUNG"
"en","warning_title","WARNING"
"es","warning_title","AVISO"
"fr","warning_title","ATTENTION"
"it","warning_title","ATTENZIONE"
"pt","warning_title","ATENÇÃO"
"se","warning_title","VARNING"
"de","wifi","Wi-Fi"
"en","wifi","Wi-Fi"
"es","wifi","Wi-Fi"
"fr","wifi","Wi-Fi"
"it","wifi","Wi-Fi"
"pt","wifi","Wi-Fi"
"se","wifi","Wi-Fi"
"de","wifi_country","Country"
"en","wifi_country","Country"
"es","wifi_country","Country"
"fr","wifi_country","Country"
"it","wifi_country","Country"
"pt","wifi_country","Country"
"se","wifi_country","Land"
"de","wifi_ip","Wi-Fi IP"
"en","wifi_ip","Wi-Fi IP"
"es","wifi_ip","Wi-Fi IP"
"fr","wifi_ip","Wi-Fi IP"
"it","wifi_ip","Wi-Fi IP"
"pt","wifi_ip","Wi-Fi IP"
"se","wifi_ip","Wi-Fi IP"
"de","wifi_pwd","Wi-Fi Passwort"
"en","wifi_pwd","Wi-Fi Pwd"
"es","wifi_pwd","Clave Wi-Fi"
"fr","wifi_pwd","Clé Wi-Fi"
"it","wifi_pwd","Wi-Fi Pwd"
"pt","wifi_pwd","Wi-Fi Password"
"se","wifi_pwd","Wi-Fi Lösenord"
"de","wifi_ssid","Selected Wi-Fi"
"en","wifi_ssid","Selected Wi-Fi"
"es","wifi_ssid","Wi-Fi Seleccionada"
"fr","wifi_ssid","Selected Wi-Fi"
"it","wifi_ssid","Selected Wi-Fi"
"pt","wifi_ssid","Selected Wi-Fi"
"se","wifi_ssid","Valt Wi-Fi"
"de","wrong_pwd","Wrong Password"
"en","wrong_pwd","Wrong Password"
"es","wrong_pwd","Contraseña incorrecta"
"fr","wrong_pwd","Wrong Password"
"it","wrong_pwd","Wrong Password"
"pt","wrong_pwd","Wrong Password"
"se","wrong_pwd","Fel Lösenord"
"de","xbox","XBOX"
"en","xbox","XBOX"
"es","xbox","XBOX"
"fr","xbox","XBOX"
"it","xbox","XBOX"
"pt","xbox","XBOX"
"se","xbox","XBOX"
"de","year","Year"
"en","year","Year"
"es","year","Año"
"fr","year","Year"
"it","year","Year"
"pt","year","Year"
"se","year","Datum"
"de","yuv-v3","YUV"
"en","yuv-v3","YUV"
"es","yuv-v3","YUV"
"fr","yuv-v3","YUV"
"it","yuv-v3","YUV"
"pt","yuv-v3","YUV"
"se","yuv-v3","YUV"
"de","warning_clipping","Warning, May Cause Clipping"
"en","warning_clipping","Warning, May Cause Clipping"
"es","warning_clipping","Aviso, Puede Causar Distorsión"
"fr","warning_clipping","Warning, May Cause Clipping"
"it","warning_clipping","Warning, May Cause Clipping"
"pt","warning_clipping","Warning, May Cause Clipping"
"se","warning_clipping","Varning, Kan Orsaka Klippning"
